,description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,name,webSite,phoneNumber,shortUri,squareImage,city,region,yearFounded,stateCode,Primary_Key,latutide,longitude,attendanceStatus_partTime,attendanceStatus_fullTime,firstToSecondYearRetention_fullTime,firstToSecondYearRetention_partTime,overallGraduationRates_4,overallGraduationRates_6,enrollmentByGender_enrollmentMale,enrollmentByGender_enrollmentFemale,enrollmentByGender_AgeUnder18,enrollmentByGender_Age18to24,enrollmentByGender_Age25to64,enrollmentByGender_Age65andOver,graduationRateByGender_graduationMale,graduationRateByGender_graduationFemale,enrollmentByRace_americanIndian,enrollmentByRace_asian,enrollmentByRace_hawaiianPacific,enrollmentByRace_africanAmerican,enrollmentByRace_hispanic,enrollmentByRace_white,enrollmentByRace_twoRaces,enrollmentByRace_unknown,enrollmentByRace_alien,graduationRateByRace_americanIndian,graduationRateByRace_asian,graduationRateByRace_hawaiianPacific,graduationRateByRace_africanAmerican,graduationRateByRace_hispanic,graduationRateByRace_white,graduationRateByRace_twoRaces,graduationRateByRace_unknown,graduationRateByRace_alien,Twitter,Facebook,LinkedIn,Instagram,YouTube,federalGrant,pellGrant,otherFederalGrant,stateLocalGrant,institutionalGrant,anyGrant,anyLoan,federalLoan,nonFederalLoan
0,"One of the top public universities in the country, UC Berkeley has a rich tradition of leading technological and social change. <br>Berkeley’s faculty has had a hand in the discovery of Vitamins E and K, the development of the atomic bomb and the creation of the flu vaccine. <br>Since the Free Speech Movement of the 1960s, Berkeley’s students have maintained a strong tradition of involvement in social justice movements, an attitude that pervades the Berkeley spirit to this day: The school is the top producer of Peace Corps members, and 5,300 students participate in off-campus public service programs. <br>Students can choose from more than 350 majors. Berkeley's faculty boasts 4 Pulitzer Prize winners. ",1,"University of California, Berkeley",CA,43185,Urban,138800.0,"University of California, Berkeley",http://www.berkeley.edu,(510) 642-6000,http://onforb.es/MvI8Zf,//specials-images.forbesimg.com/imageserve/5d5196e368cb0a000916b46a/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Berkeley,West,1868.0,CA,64,37.869236,-122.258393,7.0,93.0,97.0,72.0,76.0,93.0,48.0,52.0,782.0,28810.0,1752.0,4.0,91.0,94.0,0.2,30.2,0.1,2.1,14.1,26.7,5.4,4.0,17.2,100.0,97.0,75.0,76.0,84.0,92.0,92.0,96.0,92.0,https://twitter.com/UCBerkeley,https://www.facebook.com/UCBerkeley,https://www.linkedin.com/edu/university-of-california-berkeley-17939,http://instagram.com/ucberkeleyofficial/,http://www.berkeley.edu/tour/,23.0,27.0,13.0,31.0,51.0,19126.0,23.0,23.0,12.0
1,"The second oldest Ivy League institution, Yale is known for its highly-regarded programs in history, economics, psychology and English. <br>Students are assigned to one of fourteen residential colleges on the school’s New Haven, CT, campus. Each college showcases a large courtyard and distinctive colonial, gothic or modernist buildings. Students are associated with their respective colleges throughout their time as undergraduates.  <br>Yale provides undergraduates over 1,200 research opportunities in science and technology fields spanning 45 degree programs. <br>Yale's financial aid policy aims to prevent students from needing to take out loans. The school meets all students' demonstrated financial need, regardless of immigration status or citizenship. <br>The founders of Morgan Stanley, Pinterest, FedEx, Boeing and the Blackstone Group all attended Yale for undergraduate studies, as well as three U.S. presidents.",2,Yale University,CT,13609,Urban,141300.0,Yale University,http://www.yale.edu,203-432-4771,http://onforb.es/NirARu,https://specials-images.forbesimg.com/imageserve/55b8e4d0e4b05c2c343240f3/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,New Haven,Northeast,1701.0,CT,10,41.314042,-72.923425,1.0,99.0,99.0,0.0,88.0,97.0,48.0,52.0,114.0,5947.0,30.0,1.0,97.0,98.0,0.3,15.1,0.1,6.0,10.4,41.2,5.1,1.1,20.7,100.0,97.0,0.0,97.0,97.0,98.0,96.0,100.0,95.0,https://twitter.com/yale,https://www.facebook.com/YaleUniversity,https://www.linkedin.com/edu/school?id=18043&trk=tyah&trkInfo=tarId%3A1405449647047%2Ctas%3AYALE%20UNIVERSITY%2Cidx%3A2-1-4,http://instagram.com/yale,http://admissions.yale.edu/virtual-tour,20.0,18.0,9.0,,56.0,55827.0,6.0,6.0,
2,"Princeton is a leading private research university in Princeton, NJ, and the fourth oldest college in the United States. Students are placed into one of six residential colleges and are guaranteed housing for all four years of school. <br>Students at Princeton can choose from over 30 majors and 50 certificates. Popular programs are in the social sciences, STEM and public policy. Princeton aims to keep classes small and implements a precept system to facilitate more intimate group discussions outside of class. Every senior writes a thesis or conducts an independent research project. <br>Princeton alumni are high-achieving: The university has produced 21 Rhodes Scholars over the last decade and 18 total alumni recipients of the Nobel Prize. <br>Princeton meets 100% of demonstrated financial need for domestic and international students. Students whose families have an annual income below $65,000 are eligible for a grant to cover full tuition, residential college fee, room and board.",3,Princeton University,NJ,8419,Suburban,150500.0,Princeton University,http://www.princeton.edu,609-258-3000,http://onforb.es/NirwkP,http://specials-images.forbesimg.com/imageserve/559adbbce4b05c2c3431b18f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Princeton,Northeast,1746.0,NJ,2,40.349855,-74.659119,1.0,99.0,98.0,0.0,90.0,98.0,54.0,46.0,145.0,5239.0,38.0,0.0,97.0,99.0,0.1,17.1,0.1,5.9,9.0,37.1,4.3,3.3,23.1,100.0,99.0,100.0,97.0,97.0,98.0,92.0,96.0,98.0,https://twitter.com/princeton,https://www.facebook.com/PrincetonU,http://www.linkedin.com/edu/princeton-university-18867,http://instagram.com/Princeton_University,http://www.princeton.edu/~oktour/virtualtour/,21.0,19.0,4.0,2.0,62.0,52188.0,10.0,4.0,8.0
3,"Located just outside of Palo Alto, CA, Stanford University is a world class private research university renowned for its STEM programs, which have produced numerous Nobel Prize, Turing Award and Fields Medal recipients. <br>Stanford students lead robust lives outside of the classroom. The school fields 36 varsity teams and 33 club sports, active Greek life and community service through the university-wide Cardinal Service program. <br>A world-class education won’t break the bank. Families with annual incomes below $75,000—an increase from $65,000—are not expected to pay tuition, room or board. <br>Stanford alumni include billionaire venture capitalist Peter Thiel, Instagram cofounder Kevin Systrom, Senator Cory Booker and Sandra Day O’Connor, the first female Supreme Court Justice.",4,Stanford University,CA,17249,Suburban,147100.0,Stanford University,http://www.stanford.edu,650-723-2091,http://onforb.es/NiryZI,//specials-images.forbesimg.com/imageserve/5d52d1ad2d95e3000804cc8e/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Stanford,West,1891.0,CA,6,37.43137,-122.168924,6.0,94.0,99.0,0.0,73.0,94.0,55.0,45.0,13.0,6867.0,116.0,0.0,94.0,95.0,0.4,18.1,0.2,4.2,11.2,32.4,6.1,2.1,25.3,100.0,93.0,100.0,94.0,93.0,96.0,93.0,83.0,95.0,https://twitter.com/stanford,https://www.facebook.com/stanford,http://www.linkedin.com/edu/stanford-university-17926,http://instagram.com/stanford,,18.0,17.0,8.0,5.0,56.0,54808.0,7.0,7.0,1.0
4,"Columbia University in the City of New York is a private, Ivy league university in upper Manhattan. The school utilizes its location to provide students with a wealth of resources and learning opportunities. <br>Columbia houses three undergraduate programs: the flagship Columbia College, the college of engineering, and the School of General Studies which admits nontraditional students. Students looking for a broad liberal arts education benefit from Columbia’s core curriculum, which has requirements in literature, writing, art and science. <br>The intensive academic environment extends into more than 200 research centers and institutes. Columbia dedicates nearly $1 billion annually into research. <br>There are over 350 student organizations on campus, as well as Greek life. Housing is guaranteed for all four years, and most students take advantage of it. <br>More Nobel Laureates have graduated from or taught at Columbia than any other university in the Ivy League. Columbia alumni include five founding fathers, 34 presidents and prime ministers, and nine Supreme Court justices.",5,Columbia University,NY,31456,Urban,132100.0,Columbia University,http://www.columbia.edu,212-854-1754,http://onforb.es/NiryZG,https://specials-images.forbesimg.com/imageserve/61295463da4999918c7e41dd/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,New York,Northeast,1754.0,NY,13,40.806515,-73.961288,16.0,84.0,99.0,95.0,86.0,95.0,47.0,53.0,90.0,6964.0,1162.0,5.0,95.0,96.0,0.2,12.3,0.1,4.7,7.8,30.1,2.7,4.6,37.5,67.0,98.0,0.0,98.0,94.0,95.0,92.0,100.0,97.0,https://twitter.com/columbia,https://www.facebook.com/columbia,http://www.linkedin.com/company/columbia-university,,,18.0,25.0,10.0,6.0,52.0,55071.0,10.0,8.0,2.0
5,"A leading global research university, MIT attracts some of the most brilliant young brainiacs to its Cambridge, MA, campus every year. <br>Innovation runs deep at MIT. Last year, researchers at MIT filed 439 patents and 25 companies formed using the school’s intellectual property. <br>Students looking for an escape from frigid New England winters can turn to MIT’s underground labyrinth of mural-lined tunnels that run beneath much of campus. <br>Despite the school’s STEM focus, all students must complete a wide-ranging core curriculum which includes laboratory requirements and a 100-yard swim test. <br>Many of the world’s top minds went to MIT, including Nobel Prize-winning physicist Richard Feynman, renowned architect I.M. Pei (who designed four buildings on MIT’s campus) and Italian Prime Minister Mario Draghi. ",6,Massachusetts Institute of Technology,MA,11520,Urban,158100.0,Massachusetts Institute of Technology,http://web.mit.edu,617-253-1000,http://onforb.es/NiryZN,https://specials-images.forbesimg.com/imageserve/557f394de4b017853ecec0bd/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Cambridge,Northeast,1861.0,MA,5,42.359006,-71.093539,1.0,99.0,99.0,0.0,87.0,95.0,60.0,40.0,133.0,4349.0,48.0,0.0,94.0,97.0,0.2,18.6,0.0,3.7,9.4,30.0,4.7,4.0,29.4,75.0,97.0,0.0,98.0,92.0,95.0,100.0,100.0,98.0,https://twitter.com/mit,https://www.facebook.com/MITnews,http://www.linkedin.com/company/mit,,http://web.mit.edu/vrtour/,19.0,18.0,16.0,2.0,60.0,49775.0,9.0,8.0,2.0
6,"Founded in 1636 in Cambridge, Massachusetts, Harvard University is the oldest institution of higher learning in the U.S., and has long been the gold standard of American education. <br>After spending their first year in dormitories on Harvard Yard, students are placed in one of 12 on-campus residential houses, each featuring its own dining halls, intramural sport teams and unique traditions. <br>Harvard is home to many distinguished academics, including Nobel laureates William Kaelin and Michael Kremer, and Pulitzer Prize winners like historian Stephen Greenblatt and essayist Louis Menand. <br>Despite its $51,904 annual tuition, financial aid at Harvard is abundant. Families with household income below $65,000 are not expected to make a contribution. <br>Harvard graduates range from Academy Award winners to Supreme Court justices, but some of its most successful alumni are dropouts like Bill Gates and Mark Zuckerberg. ",7,Harvard University,MA,31655,Urban,147700.0,Harvard University,http://www.harvard.edu,617-495-1000,http://onforb.es/NiryZK,http://specials-images.forbesimg.com/imageserve/559d7155e4b05c2c3431c0a3/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Cambridge,Northeast,1636.0,MA,8,42.374699,-71.112957,33.0,67.0,97.0,0.0,85.0,97.0,49.0,51.0,489.0,7647.0,1891.0,36.0,97.0,98.0,0.2,13.7,0.1,6.0,9.2,40.0,4.0,3.8,23.0,83.0,97.0,100.0,96.0,96.0,98.0,96.0,90.0,97.0,https://twitter.com/harvard,https://www.facebook.com/Harvard,https://www.linkedin.com/edu/school?id=18483&trk=tyah&trkInfo=tarId%3A1406038455226%2Ctas%3Aharvard%2Cidx%3A2-3-4,http://instagram.com/harvardu,,18.0,12.0,12.0,3.0,57.0,55455.0,7.0,2.0,6.0
7,"Applicants to the University of California, Los Angeles, have some stiff competition: The public research university  is the most applied-to university in the country. This year, it saw over 139,000 applications from prospective freshmen. <br>With more than 125 undergraduate majors, UCLA has no shortage of opportunities. Students learn from award-winning faculty members—eight professors received Guggenheim Fellowships just this past year—and two on-campus centers help match faculty and undergraduate students for research opportunities. <br>Ranked one of the top Forbes Best Value colleges, 45% of students pay no tuition at UCLA. The university also offers a number of merit scholarships. <br>UCLA’s Bruins have won over 100 NCAA Division I national titles. <br>Notable UCLA alumni include MLB trailblazer Jackie Robinson, director Francis Ford Coppola, diplomat Ralph Bunche, and Senator Kirsten Gillibrand.",8,"University of California, Los Angeles",CA,44371,Urban,122400.0,"University of California, Los Angeles",http://ucla.edu,310-825-4321,http://onforb.es/MvI1gb,//specials-images.forbesimg.com/imageserve/5d519a6468cb0a000916b5cf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Los Angeles,West,1919.0,CA,70,34.073903,-118.437855,4.0,96.0,97.0,86.0,80.0,92.0,45.0,55.0,759.0,29464.0,1319.0,1.0,90.0,93.0,0.2,25.1,0.2,3.5,19.6,27.9,5.4,2.8,15.3,63.0,94.0,94.0,80.0,87.0,94.0,91.0,92.0,91.0,http://twitter.com/ucla,http://www.facebook.com/uclabruins,http://www.linkedin.com/company/ucla,http://instagram.com/ucla,virtualtour.ucla.edu,26.0,32.0,3.0,33.0,46.0,19595.0,28.0,27.0,7.0
8,"The University of Pennsylvania covers almost 300 acres in west Philadelphia with close proximity to downtown and several neighboring colleges. <br>UPenn offers four undergraduate colleges: the College of Arts & Sciences, the School of Engineering and Applied Sciences, the School of Nursing and the Wharton School, the first collegiate business school. <br>The university has churned out numerous notable alumni, including singer-songwriter John Legend, journalist Andrea Mitchell and entrepreneurs Elon Musk, Tory Burch and former President Donald Trump. <br>UPenn is need-blind for student applicants from the United States, Mexico and Canada. The university is dedicated to meeting 100% of demonstrated financial need for eight semesters. <br>This Ivy League school offers hundreds of social organizations spanning professional clubs, cultural groups and the university’s independent student newspaper, The Daily Pennsylvanian. <br>During the “Hey Day,” juniors parade through campus wearing custom-logo red tee shirts, straw hats and a cane.",9,University of Pennsylvania,PA,26675,Urban,142900.0,University of Pennsylvania,http://www.upenn.edu,(215) 898-5000,http://onforb.es/NiryZM,https://specials-images.forbesimg.com/imageserve/559ae85ae4b05c2c3431b256/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Philadelphia,Northeast,1740.0,PA,36,39.95227,-75.162369,16.0,84.0,98.0,92.0,86.0,96.0,45.0,55.0,248.0,10827.0,778.0,19.0,94.0,97.0,0.1,16.2,0.0,6.7,7.8,40.6,3.6,3.7,21.3,100.0,97.0,50.0,94.0,96.0,96.0,90.0,96.0,95.0,https://twitter.com/Penn,https://www.facebook.com/UnivPennsylvania,https://www.linkedin.com/edu/university-of-pennsylvania-19328,http://instagram.com/uofpenn,,13.0,13.0,9.0,5.0,49.0,50532.0,13.0,12.0,3.0
9,"An elite private university in Evanston, IL, Northwestern provides students a powerhouse education in a wide range of disciplines. <br>Northwestern maintains three campuses globally: Its flagship main campus in Evanston, just north of Chicago; a graduate and professional school hub in downtown Chicago; and an overseas campus in Doha, Qatar, where students can easily study abroad. <br>Students can choose from over 100 academic programs across Northwestern’s six undergraduate schools, including the McCormick School of Engineering and the world-renowned Medill School of Journalism. Approximately 70% of undergraduates combine two or more areas of study. <br>The university utilizes a quarter system with shorter academic terms in the fall, winter and spring, rather than traditional semesters. Students can use the summer term for research opportunities. <br>Northwestern’s campus is rich with activities, including 400 clubs, the Big 10 Wildcats and live performances at the Wirtz Center for the Performing Arts. About half of students enrich their experience by studying abroad.",10,Northwestern University,IL,22448,Urban,120300.0,Northwestern University,http://www.northwestern.edu,847-491-3741,http://onforb.es/MvI0Jj,//specials-images.forbesimg.com/imageserve/5d51885f95808800097c72c3/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Evanston,Midwest,1851.0,IL,18,42.04965,-87.67874,19.0,81.0,98.0,0.0,84.0,94.0,49.0,51.0,107.0,8284.0,288.0,3.0,93.0,94.0,0.1,14.5,0.0,5.3,8.7,42.9,3.9,6.4,18.2,0.0,94.0,0.0,89.0,89.0,95.0,93.0,100.0,94.0,http://www.twitter.com/NorthwesternU,http://www.facebook.com/NorthwesternU,http://www.linkedin.com/company/northwestern-university,http://www.instagram.com/NorthwesternU,,21.0,18.0,20.0,8.0,57.0,48438.0,26.0,25.0,1.0
